Year    Mon   Day  Hour   Min    Sec        Lat         Lon         Dep       Mw      Mcat     Stress drop      fc     NCEDC_ID
2003     9     9    23    11    36.59    36.010420  -120.568160     4.62     1.10     1.16         3.64        33.21   21306541
2003     9    10    17    11    48.60    35.995490  -120.556990     3.25     1.34     1.54         2.81        24.91   21306643
2003     9    17    20     7     8.76    36.027860  -120.570690     9.16     1.71     1.71         7.39        25.22   21307742
2003     9    17    21    39    45.44    36.027910  -120.570240     9.17     2.39     2.39         7.05        14.16   21307770
2003     9    23     3    18    33.05    35.967850  -120.518900    11.09     1.53     1.64        28.68        46.28   21308553
2003     9    29    16    42    56.44    35.992450  -120.548920     4.08     1.31     1.35         9.47        38.41   21309866
2003    10     1     3     1    42.67    36.036650  -120.591140     4.49     2.26     2.33        60.63        32.16   21310209
2003    10     2     7    12    19.53    35.954570  -120.522050     9.73     0.73     1.06         7.29        56.63   21310384
2003    10     4     1     5    10.39    36.038670  -120.594930     4.38     1.41     1.50        41.53        57.61   21310833
2003    10    10     1     8    57.21    35.986050  -120.543420     4.69     0.97     1.30        17.65        62.78   21311859
2003    10    12     7    10    39.55    35.959840  -120.510080     4.38     0.30     0.92         5.20        72.62   21312264
2003    10    14     2    44    35.62    35.985950  -120.543360     4.66     1.04     1.29         8.15        45.65   21312536
2003    10    20     4    52    18.25    35.958170  -120.506100    11.11     1.71     1.81        66.26        52.40   21313831
2003    10    20    11    25    46.04    35.984130  -120.542680     2.60     2.08     2.18         8.18        19.17   30227076
2003    10    21     8    30    45.31    35.983400  -120.541130     2.47     0.86     1.11         3.18        38.68   21314061
2003    10    21     9     0    15.68    35.983740  -120.542360     2.61     1.85     2.03         1.85        14.18   21314065
2003    10    21    15    53    17.57    36.019590  -120.577430     4.52     0.98     1.30         7.98        47.59   21314130
2003    10    21    15    57    21.17    35.936680  -120.485440     4.93     1.17     1.14        28.42        62.12   21314134
2003    10    22    13    15    29.10    35.978890  -120.538210     3.08     0.78     1.10         4.42        46.32   21314278
2003    10    23     7    49    29.30    35.987220  -120.544710     6.85     0.89     1.10        14.35        62.19   21314459
2003    10    23    10    45     4.87    35.811880  -120.357430     6.65     1.44     1.59        54.84        61.68   21314472
2003    10    25    12    48    25.70    35.889380  -120.435940    10.61     0.92     1.12         9.61        53.24   21315024
2003    10    27    16     6    26.20    35.942160  -120.491600    13.80     0.69     1.32        29.16        93.21   21315554
2003    10    28    20     5    24.50    36.052880  -120.605250     7.76     1.24     1.11         5.49        33.71   21315816
2003    10    31    15    31    15.46    36.050680  -120.602780     5.70     1.34     1.27        44.40        62.27   21316357
